Registration Number,Annual Turnover
20186,30271275.62897351
20187,22403986.04834201
20188,21144101.789088536
20189,40981045.0492347
20190,46563577.87936345
20191,21332460.57917225
20192,33406993.619354922
20193,30417512.66814034
20194,33202119.6333214
20195,24889783.75781394
20196,28066398.678831477
20197,32990933.839851916
20198,27029865.361990597
20199,29384599.081465233
20200,43702858.96506244
20201,36836965.277614065
20202,32767155.18764307
20203,22207192.967506066
20204,29287618.563125312
20205,24800574.4599726
20206,45694486.87910414
20207,34348689.44631424
20208,31560301.7727441
20209,29352828.76531711
20210,32794169.439172413
20211,27726938.9307002
20212,33901850.45564461
20213,36762486.12367628
20214,21422114.028248083
20215,25980251.815355647
20216,19543773.63791829
20217,33509379.458394915
20218,45757491.30042393
20219,43291206.317333154
20220,36353697.10245259
20221,30675353.187894776
20222,20905922.362505116
20223,21110480.1710837
20224,24446849.59641104
20225,44457206.64487007
20226,33951254.96258054
20227,38940362.39564241
20228,31536410.993342
20229,32841685.527818054
20230,27375133.0012244
20231,23477216.597075015
20232,40775538.02215976
20233,37233264.840575464
20234,42485670.873618625
20235,29564797.34931454
20236,25325465.842609774
20237,33189882.917787567
20238,28240140.72286667
20239,30285018.040593933
20240,42247115.479285076
20241,21051875.093801495
20242,27609987.639522865
20243,41973421.770345844
20244,20354093.94936635
20245,34351043.58093704
20246,39463076.910747446
20247,21340060.758695055
20248,30328363.719461825
20249,21055692.256687455
20250,36789750.20866287
20251,39550304.21531527
20252,41248554.393366374
20253,25228382.82579956
20254,34378549.139572315
20255,25630010.552102897
20256,24400470.581496548
20257,23383727.157127064
20258,37478672.83807831
20259,47003080.31329305
20260,24595528.74718241
20261,32679831.27586976
20262,19659042.13125743
20263,36497193.82656736
20264,23481994.920130447
20265,29824486.172845285
20266,25632939.404690713
20267,30565867.77317503
20268,30869172.95902243
20269,30677575.710359585
20270,35981436.1014935
20271,41773537.242313676
20272,31661056.60005055
20273,24036420.231875937
20274,31957130.14747147
20275,33730141.671949886
20276,34664385.67328656
20277,21350368.91918141
20278,37904057.44017053
20279,32978350.376923878
20280,40331313.807702355
20281,22893711.44754179
20282,36438894.81609297
20283,27726429.21782744
20284,26591885.957972664
20285,22563778.96218425
20286,36475363.68573638
20287,26644211.561274964
20288,20951215.773156192
20289,33862342.19192923
20290,33260389.704607368
20291,37094802.45263233
20292,41375450.33467018
20293,27726019.889840145
20294,34979441.04515999
20295,32656819.50339822
20296,25594177.332573343
20297,17156706.41685128
20298,28834263.966955546
20299,43619813.656487584
20300,25502300.32080887
20301,36214594.09630001
20302,31614901.39233564
20303,22205921.78253134
20304,29035776.345379908
20305,31622503.777717788
20306,23297081.510605555
20307,30037575.086678
20308,19813860.069952402
20309,33480601.477220166
20310,23761038.50344171
20311,30780356.41873154
20312,35306324.389995
20313,39592564.66817563
20314,26473533.49766937
20315,26929190.96896391
20316,27905967.774086133
20317,24601601.454796135
20318,23838790.35598199
20319,24830876.912041813
20320,17157080.467083175
20321,35826852.38025666
20322,36424040.70602346
20323,27345037.14163233
20324,37503462.297312476
20325,26821980.643838886
20326,40552814.80853339
20327,30624670.16604878
20328,18666063.064474314
20329,22678997.02229398
20330,30729984.24496639
20331,35886255.53519963
20332,35705737.98296685
20333,45289454.01338204
20334,52730083.35979114
20335,31404673.373023555
20336,31801057.046557114
20337,35694854.91189543
20338,28015641.467513174
20339,50644660.53076149
20340,31669589.23790145
20341,38979683.06285151
20342,20723048.12449831
20343,37224099.423248835
20344,29311512.626886617
20345,21732787.91235262
20346,40296066.9267778
20347,36755500.93647421
20348,33351542.058434147
20349,44718991.07144164
20350,27265632.570898104
20351,31561477.339442734
20352,26493998.229832873
20353,34364364.70266674
20354,24815307.937774193
20355,20504027.60902824
20356,23990618.311371047
20357,51332452.16251434
20358,37210382.1188504
20359,28977393.152338605
20360,27069039.378934722
20361,42211102.7007169
20362,27430950.59165064
20363,26597139.580677416
20364,37533548.24683669
20365,21216550.238010332
20366,31360270.165765602
20367,22539137.939283323
20368,27347354.27745195
20369,43691858.368895106
20370,32485882.49970822
20371,63567345.93561888
20372,45583178.617614806
20373,30621806.631518867
20374,17303352.732015114
20375,26382163.638330806
20376,25867578.69492204
20377,29249556.925854463
20378,36965742.39138082
20379,30078808.811486322
20380,28598588.705797717
20381,41282309.1170106
20382,24077693.372334793
20383,32389758.992601696
20384,59012871.10547978
20385,23417795.171026092
20386,27686704.280039173
20387,24237986.01021305
20388,34157266.91013465
20389,29688097.372021187
20390,61120591.14682696
20391,20613802.470564973
20392,52234705.83562932
20393,24868672.425756186
20394,17296035.02439756
20395,29246015.32680856
20396,27751503.584686268
20397,32782372.420360107
20398,37834558.35013177
20399,33053104.32426727
20400,26644724.00351658
20401,27587310.831465587
20402,24759772.825245757
20403,32312320.92594934
20404,25962510.76636201
20405,43474060.74121297
20406,42513073.80805147
20407,22500850.814074416
20408,23153249.506267082
20409,25662311.005559023
20410,26277610.24297291
20411,24124436.67185382
20412,31174986.163951367
20413,25273127.917820495
20414,25292667.780358363
20415,23142876.117771056
20416,30773780.44668044
20417,40140394.64761719
20418,26234764.79166464
20419,17949198.74144468
20420,32151253.74916305
20421,31863561.636746425
20422,41378145.93733971
20423,37543673.64970397
20424,38546358.30473766
20425,23929299.38218695
20426,26514854.906379387
20427,27335756.994700063
20428,37153606.78610506
20429,31144996.25048952
20430,23953563.215239543
20431,31647895.860653985
20432,24038861.47683696
20433,37844929.34884355
20434,22947068.28273766
20435,39379785.762042634
20436,40092221.9784464
20437,37200685.35053548
20438,41897505.708080076
20439,40179521.21038404
20440,22100258.77340943
20441,23205523.969193686
20442,32799918.906834587
20443,26663360.462824088
20444,30498869.07575713
20445,25385470.979589824
20446,25614455.10476151
20447,19036750.886528563
20448,23776478.890720572
20449,43607342.2623367
20450,31457575.04933086
20451,33430592.88704109
20452,21463190.047272734
20453,37114203.42185354
20454,38578818.42432932
20455,56821185.56586844
20456,20203780.978377547
20457,44888203.64984473
20458,30130472.78774792
20459,30416076.37767281
20460,26949534.199584737
20461,40631342.80262943
20462,30524248.18943253
20463,37824000.53897054
20464,23246050.204181228
20465,38498289.669115
20466,44828410.17213418
20467,20715319.988292333
20468,23309548.853957653
20469,38757314.180573195
20470,22820257.91004938
20471,26026860.839192655
20472,34641229.40537511
20473,44130261.77921998
20474,23904175.139937196
20475,33685536.65557042
20476,25629694.79889283
20477,28570312.074787606
20478,47102736.4120065
20479,47050845.93430049
20480,32337188.116734695
20481,36676345.449877076
20482,35052056.497790515
20483,35458366.74076701
20484,54220328.58092731
20485,34328038.69823227
20486,19526419.10400825
20487,19378185.0005148
20488,30467243.69587488
20489,28604940.510978702
20490,26661567.84377181
20491,28634776.255617484
20492,27697229.694075186
20493,27651936.35134688
20494,29973873.181431044
20495,34550352.08107262
20496,34453430.55348465
20497,27010825.639327478
20498,32363720.56757169
20499,45155746.44266286
20500,32689907.021102022
